age,housing,deposits,withdrawal,purchases_partners,purchases,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type
28.0,R,0,0,1,0,1,1,1,1,0,0,Weekly
35.0,R,47,2,86,47,1,0,0,0,1,2,Semi-Monthly
26.0,R,26,3,38,25,1,0,0,0,1,0,Bi-Weekly
32.0,R,5,3,111,5,1,1,1,0,1,0,Bi-Weekly
21.0,na,0,0,4,0,1,0,0,0,1,0,Bi-Weekly
28.0,R,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
23.0,na,1,0,87,1,1,1,1,1,0,0,Bi-Weekly
41.0,O,14,0,116,13,1,1,1,1,0,0,Semi-Monthly
20.0,na,0,0,135,0,1,1,1,1,1,5,Bi-Weekly
27.0,O,2,1,48,2,1,1,1,0,1,0,Weekly
24.0,na,6,2,24,6,1,0,0,0,1,0,Weekly
31.0,R,17,2,62,17,1,1,1,0,1,0,na
21.0,na,0,0,0,0,1,1,1,0,0,0,Bi-Weekly
37.0,R,0,0,39,0,1,1,1,1,0,2,na
30.0,R,6,0,11,6,1,0,0,0,1,2,Bi-Weekly
44.0,O,0,0,0,0,1,1,1,1,0,0,Monthly
52.0,na,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
25.0,na,0,0,0,0,1,0,0,0,1,0,Monthly
22.0,na,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
29.0,na,0,0,1,0,1,0,0,0,1,0,Monthly
25.0,na,0,0,3,0,1,0,0,0,1,0,Bi-Weekly
36.0,na,0,0,83,0,1,1,1,1,0,0,Bi-Weekly
45.0,R,48,0,76,48,1,1,1,0,1,0,Weekly
31.0,na,0,0,0,0,1,1,1,1,0,2,Weekly
45.0,R,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
28.0,R,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
24.0,na,0,0,37,0,1,1,1,0,1,2,Bi-Weekly
42.0,na,0,0,0,0,1,1,1,0,1,0,na
27.0,R,0,0,0,0,1,1,1,0,1,0,na
26.0,R,0,0,57,0,1,1,1,0,1,0,Bi-Weekly
32.0,R,0,0,87,0,1,1,1,0,1,0,Bi-Weekly
21.0,na,1,0,26,1,1,1,1,0,1,0,na
38.0,R,12,2,79,12,1,1,1,1,0,4,na
29.0,R,2,0,57,2,1,0,0,0,1,0,Bi-Weekly
24.0,R,3,0,56,3,1,1,1,0,1,0,Bi-Weekly
40.0,na,0,0,22,0,1,1,1,0,1,0,Weekly
22.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
48.0,O,33,0,16,31,1,1,1,1,0,2,Bi-Weekly
39.0,na,0,0,8,0,1,1,1,1,0,0,Bi-Weekly
32.0,R,0,0,59,0,1,1,1,1,0,0,na
25.0,na,14,5,23,14,1,0,0,1,0,0,Bi-Weekly
